#ID_REF = Sample Identifier
#VALUE = z-normalized value of the raw data
*ID_REF**	VALUE*
217	-0.353229029
218	-0.408896042
219	-2.17457986
220	-1.07343898
221	0.759661785
222	0.074963822
223	-0.273013614
224	0.591160763
225	0.806709231
226	0.237655193
227	0.125944044
228	-0.283951717
229	-0.874512736
230	-0.829528213
231	-0.170687028
232	-0.317815688
233	0.243473182
234	-0.504092743
235	-0.369118964
236	-0.742076189
237	-1.258954953
238	-2.163660806
239	-1.141655411
240	-1.162518616
241	-0.1446579
242	-0.234553888
243	-0.042887992
244	0.171975043
245	0.571127033
246	0.239072041
247	-0.258952756
248	0.373126524
249	1.098383186
250	-0.699200896
251	0.097383745
252	-0.80812899
253	-0.854663439
254	-0.450324277
255	-1.085012823
256	0.283333228
257	-0.265097924
258	-1.655806341
259	-1.304027385
260	-2.060048045
261	-1.311030841
262	-0.368390845
263	-1.107498385
264	-0.369761324
265	-0.297125009
266	-0.240016429
267	-0.320661588
268	0.089592265
269	-0.453753201
270	-0.65043611
271	1.643026136
272	-0.643255408
273	-0.240540706
274	-1.174739709
275	-0.657246159
276	-0.13288956
277	-0.104178696
278	-0.159907583
279	-1.182935326
280	-0.324567509
281	-1.219933526
282	-1.755817319
283	-0.745439055
284	-1.796745491
285	-1.703093143
286	-1.683877328
287	0.641621824
288	-0.533374083
289	0.25701618
290	-0.661504683
291	-0.116824749
292	0.224674258
293	3.06298493
294	-0.666379582
295	-0.836811939
296	-1.180739572
297	-0.402551586
298	-0.197397474
299	-0.413986179
300	-0.135519978
301	0.045153318
302	-1.543239845
303	-0.725208824
304	-1.579555458
305	-0.699192333
306	-1.454173345
307	-2.63342223
308	-1.066288684
309	-0.475322732
310	-0.2441011
311	-0.38847872
312	-0.603114931
313	-0.109802809
314	0.169757409
315	0.661166279
316	-0.159831891
317	-0.196809293
318	-1.522860462
319	-0.255624013
320	-0.308372085
321	-0.626611618
322	0.499243302
323	-0.831565708
324	-0.785711366
325	-0.975864835
326	-1.836856881
327	-1.442439412
328	-1.000536342
329	-2.222391731
330	-1.132638703
331	-0.839697271
332	1.164736048
333	-0.739385547
334	0.27807473
335	-0.780051704
336	0.785145865
337	1.713756191
338	2.591558201
339	0.10754898
340	-1.661210833
341	-0.519391008
342	-0.888811707
343	-0.27571331
344	0.138513491
345	-0.253011873
346	-1.318675351
347	-0.919178015
348	-1.546090142
349	-0.896906903
350	-1.495765982
351	-4.638518614
352	-0.973859746
353	-0.630849583
354	-1.181719211
355	-0.514782422
356	-0.849681182
357	-0.492516575
358	1.630041557
359	0.33651166
360	-0.319444148
361	-0.560686597
362	-0.888312837
363	-0.420950189
364	-0.619585186
365	-0.651253498
366	-0.577032739
367	-0.361318943
368	-1.268877584
369	-1.195212431
370	-1.673908213
371	-1.437112883
372	-0.830993492
373	-1.343849474
374	-1.547784911
375	-0.633208332
376	-0.984307368
377	-0.284104466
378	1.279996369
379	-0.957249594
380	1.32658329
381	0.293432454
382	-0.231266399
383	0.628395121
384	-1.291412006
385	-1.147895934
386	-0.506923843
387	-0.623202552
388	-0.456755524
389	-0.325431609
390	-1.156982251
391	-0.901134881
392	-1.288204764
393	-1.268259117
394	-1.780537553
395	-2.293265656
396	-1.30997989
397	-0.894348504
398	-1.044810295
399	-1.253324983
400	-1.151121102
401	-1.171162358
402	1.099464881
